,Concentraciones (ug/m3),,
date,SJL,CDM,CRB
9/1/2020,38.15,,28.11
9/2/2020,20.76,,21.91
9/3/2020,24.29,,22.91
9/4/2020,27.37,,20.4
9/5/2020,36.18,,25.5
9/6/2020,31.62,,23.35
9/7/2020,38.6,,27.09
9/8/2020,35.76,27.32,28.91
9/9/2020,31.91,26.38,23.72
9/10/2020,25.96,21.95,26.07
9/11/2020,,,
9/12/2020,23.23,25.78,20.07
9/13/2020,32.98,28.08,24.05
9/14/2020,43.74,30.55,30.41
9/15/2020,46.83,26.72,31.53
9/16/2020,35,21.94,26.25
9/17/2020,24.61,17.39,20
9/18/2020,30.9,21.66,22.45
9/19/2020,36.4,30.83,32.44
9/20/2020,27.95,19.21,20.04
9/21/2020,21.71,13.06,16.6
9/22/2020,27.33,18.56,21.77
9/23/2020,33.27,20.22,18.8
9/24/2020,30.77,20.94,24.6
9/25/2020,28.58,18.85,21.94
9/26/2020,26.23,17.83,22.2
9/27/2020,26.25,19.72,24.75
9/28/2020,24.88,19.58,21.83
9/29/2020,,,
9/30/2020,,,
